nombre_comun,nombre_cientifico,familia,forma_copa,edad_promedio_anos,altura_promedio_m,dap_promedio_cm,copa_promedio_m,categoria,coeficiente_compensacion,es_nativa,descripcion
Roble,Quercus humboldtii,Fagaceae,Redonda,150,30,80,25,Nativa,2.0,True,Árbol emblemático de Cundinamarca. Madera de excelente calidad
Cedro,Cedrela odorata,Meliaceae,Piramidal,80,25,60,18,Nativa,1.8,True,Árbol valioso por su madera aromática
Guanacaste,Enterolobium cyclocarpum,Fabaceae,Redonda,200,35,100,35,Nativa,2.0,True,Árbol de grandes dimensiones y copa muy amplia
Nogal,Juglans neotropica,Juglandaceae,Piramidal,100,30,70,20,Nativa,1.9,True,Árbol precioso con maderable de gran valor
Comino,Aniba rosaeodora,Lauraceae,Piramidal,60,20,40,12,Nativa,1.2,True,Árbol aromático con propiedades medicinales
Laurel,Laurus nobilis,Lauraceae,Redonda,80,15,35,15,Nativa,1.3,True,Árbol aromático utilizado en cocina
Chocaló,Erythroxylum coca,Erythroxylaceae,Arbustiva,30,6,15,4,Nativa,0.8,True,Arbusto con usos culturales y medicinales
Caoba,Swietenia macrophylla,Meliaceae,Redonda,90,35,80,28,Nativa,1.9,True,Maderable de gran demanda comercial
Pino Colombiano,Podocarpus oleifolius,Podocarpaceae,Piramidal,150,30,60,15,Nativa,1.7,True,Conífera nativa de zonas altas
Aliso,Alnus acuminata,Betulaceae,Piramidal,60,25,50,12,Nativa,1.4,True,Árbol utilizado en sistemas agroforestales
Eucalipto,Eucalyptus globulus,Myrtaceae,Piramidal,50,35,60,15,Exótica,1.0,False,Árbol de rápido crecimiento
Pino Pátula,Pinus patula,Pinaceae,Piramidal,60,30,55,12,Exótica,1.1,False,Especie adaptada a climas templados
Acacia,Acacia mangium,Fabaceae,Redonda,40,25,45,18,Exótica,1.0,False,Árbol utilizado en reforestación
Jacarandá,Jacaranda mimosifolia,Bignoniaceae,Redonda,70,15,40,15,Exótica,1.2,False,Árbol ornamental de flores azules
Ciruela,Prunus serotina,Rosaceae,Redonda,50,20,35,12,Nativa,1.1,True,Árbol frutal con flores vistosas
Chical,Prumnopitys harmsiana,Podocarpaceae,Piramidal,120,25,50,10,Nativa,1.6,True,Conífera de zonas de niebla
